Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:36:12,,
Header Version:,1,,
System Temp (C):,31.86,,
Detector Temp (C):,27.31,,
Humidity (%):,30.05,,
Lamp PD:,3755,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.675,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,1.070138,72949.000000,6207.000000
905.910380,1.065115,86574.000000,7452.000000
909.838291,1.062352,94937.000000,8224.000000
913.761880,1.070884,104155.000000,8847.000000
917.681147,1.066303,115457.000000,9911.000000
921.596093,1.076987,129508.000000,10847.000000
925.506717,1.078587,146775.000000,12248.000000
929.413019,1.080405,166260.000000,13816.000000
933.315000,1.084347,185226.000000,15253.000000
937.212659,1.087670,202728.000000,16567.000000
941.105996,1.088163,218970.000000,17874.000000
944.995012,1.093350,234123.000000,18884.000000
948.879706,1.100369,248597.000000,19730.000000
954.052576,1.110650,267996.000000,20772.000000
957.927186,1.121988,282408.000000,21325.000000
961.797475,1.128118,296402.000000,22068.000000
965.663442,1.134840,310342.000000,22751.000000
969.525087,1.141657,323067.000000,23315.000000
973.382411,1.145418,335535.000000,24006.000000
977.235413,1.151961,347127.000000,24464.000000
981.084093,1.155749,357110.000000,24949.000000
984.928452,1.161058,365762.000000,25243.000000
988.768490,1.161725,373247.000000,25720.000000
992.604205,1.167469,378804.000000,25760.000000
996.435599,1.167560,382649.000000,26016.000000
1000.262671,1.170487,385370.000000,26025.000000
1005.358712,1.173261,387154.000000,25979.000000
1009.175700,1.171504,387134.000000,26083.000000
1012.988367,1.172896,386471.000000,25955.000000
1016.796712,1.170300,385219.000000,26026.000000
1020.600736,1.171299,383747.000000,25867.000000
1024.400438,1.168530,382119.000000,25922.000000
1028.195818,1.166168,379870.000000,25910.000000
1031.986877,1.166644,377704.000000,25734.000000
1035.773614,1.167709,374438.000000,25449.000000
1039.556029,1.169975,370584.000000,25056.000000
1043.334123,1.171179,367475.000000,24777.000000
1047.107895,1.171886,364330.000000,24525.000000
1052.132869,1.173160,359009.000000,24096.000000
1055.896557,1.173733,356290.000000,23882.000000
1059.655924,1.173742,354149.000000,23738.000000
1063.410969,1.177129,351795.000000,23397.000000
1067.161692,1.176530,349463.000000,23274.000000
1070.908094,1.180003,347652.000000,22969.000000
1074.650174,1.181070,346034.000000,22806.000000
1078.387933,1.184536,344815.000000,22545.000000
1082.121369,1.186083,343958.000000,22409.000000
1085.850485,1.189435,343127.000000,22183.000000
1089.575278,1.191360,343191.000000,22089.000000
1093.295750,1.194866,344015.000000,21964.000000
1097.011900,1.196825,344296.000000,21883.000000
1101.960045,1.197547,345137.000000,21900.000000
1105.666111,1.204834,346153.000000,21599.000000
1109.367856,1.209106,346661.000000,21419.000000
1113.065279,1.214738,347841.000000,21215.000000
1116.758381,1.217406,348929.000000,21151.000000
1120.447161,1.224203,350595.000000,20922.000000
1124.131619,1.233126,352040.000000,20581.000000
1127.811756,1.248146,353928.000000,19988.000000
1131.487571,1.266792,355980.000000,19259.000000
1135.159064,1.283340,357920.000000,18640.000000
1138.826236,1.299698,360493.000000,18080.000000
1142.489086,1.307961,363800.000000,17902.000000
1147.366164,1.317712,368112.000000,17712.000000
1151.018930,1.328401,371448.000000,17438.000000
1154.667374,1.339276,375777.000000,17205.000000
1158.311497,1.349334,380111.000000,17005.000000
1161.951299,1.357946,384988.000000,16885.000000
1165.586779,1.361562,389793.000000,16954.000000
1169.217937,1.363837,395608.000000,17117.000000
1172.844773,1.361719,401940.000000,17476.000000
1176.467288,1.360605,408458.000000,17805.000000
1180.085481,1.358524,415500.000000,18199.000000
1183.699353,1.350656,423175.000000,18874.000000
1187.308903,1.341681,431167.000000,19632.000000
1190.914131,1.332670,439458.000000,20429.000000
1195.714379,1.326071,450819.000000,21278.000000
1199.309524,1.321737,460669.000000,21961.000000
1202.900347,1.317539,471029.000000,22673.000000
1206.486848,1.316282,480916.000000,23216.000000
1210.069027,1.314336,491861.000000,23851.000000
1213.646885,1.309733,503550.000000,24678.000000
1217.220421,1.304288,515976.000000,25606.000000
1220.789636,1.295400,526727.000000,26680.000000
1224.354529,1.289394,537290.000000,27594.000000
1227.915100,1.283667,549160.000000,28578.000000
1231.471350,1.276528,561812.000000,29721.000000
1235.023278,1.273504,574865.000000,30624.000000
1239.752460,1.267241,589855.000000,31879.000000
1243.294304,1.264462,602768.000000,32786.000000
1246.831827,1.261126,616327.000000,33782.000000
1250.365028,1.260692,628780.000000,34499.000000
1253.893907,1.257932,640245.000000,35352.000000
1257.418465,1.260213,652792.000000,35856.000000
1260.938701,1.260575,665945.000000,36548.000000
1264.454615,1.260719,678287.000000,37213.000000
1267.966208,1.261210,690806.000000,37857.000000
1271.473479,1.261498,704539.000000,38584.000000
1274.976429,1.261981,718686.000000,39315.000000
1278.475056,1.263487,732831.000000,39950.000000
1281.969363,1.265745,745575.000000,40434.000000
1286.621715,1.269477,764267.000000,41093.000000
1290.105938,1.271243,774383.000000,41468.000000
1293.585838,1.276789,783466.000000,41422.000000
1297.061417,1.280102,792419.000000,41577.000000
1300.532675,1.283901,802228.000000,41725.000000
1303.999611,1.288936,810668.000000,41678.000000
1307.462225,1.294288,816703.000000,41474.000000
1310.920518,1.300857,823212.000000,41177.000000
1314.374489,1.308207,830491.000000,40844.000000
1317.824138,1.315699,836234.000000,40423.000000
1321.269466,1.324695,840134.000000,39779.000000
1324.710472,1.333586,843025.000000,39107.000000
1328.147156,1.342393,846348.000000,38473.000000
1332.722679,1.356170,850466.000000,37453.000000
1336.149280,1.366478,851778.000000,36631.000000
1339.571559,1.378436,852802.000000,35679.000000
1342.989516,1.391134,853887.000000,34695.000000
1346.403152,1.402352,855068.000000,33857.000000
1349.812466,1.410243,853771.000000,33197.000000
1353.217459,1.413441,852103.000000,32889.000000
1356.618129,1.418904,851003.000000,32436.000000
1360.014478,1.422758,849616.000000,32097.000000
1363.406506,1.428058,847186.000000,31617.000000
1366.794212,1.430196,845120.000000,31385.000000
1370.177596,1.434937,844187.000000,31010.000000
1374.682052,1.438454,841418.000000,30659.000000
1378.055353,1.442176,837589.000000,30259.000000
1381.424332,1.447552,835101.000000,29798.000000
1384.788989,1.448451,832957.000000,29660.000000
1388.149324,1.449164,830471.000000,29523.000000
1391.505338,1.452859,826502.000000,29133.000000
1394.857030,1.454388,822727.000000,28898.000000
1398.204401,1.454184,819381.000000,28794.000000
1401.547450,1.453222,815212.000000,28711.000000
1404.886177,1.450950,810816.000000,28706.000000
1408.220583,1.453421,807007.000000,28409.000000
1411.550667,1.452604,803845.000000,28351.000000
1414.876429,1.452551,800571.000000,28239.000000
1419.304056,1.451190,795411.000000,28145.000000
1422.619735,1.449866,791863.000000,28105.000000
1425.931092,1.451655,789812.000000,27917.000000
1429.238127,1.450225,787498.000000,27927.000000
1432.540841,1.450895,784703.000000,27785.000000
1435.839233,1.450032,781539.000000,27728.000000
1439.133303,1.448778,779314.000000,27729.000000
1442.423052,1.449054,776294.000000,27604.000000
1445.708479,1.448566,773371.000000,27531.000000
1448.989585,1.447950,769695.000000,27439.000000
1452.266369,1.447118,767073.000000,27398.000000
1455.538831,1.446689,762960.000000,27278.000000
1459.895391,1.448178,757300.000000,26983.000000
1463.157769,1.447515,753568.000000,26891.000000
1466.415826,1.447701,749404.000000,26731.000000
1469.669561,1.447545,743755.000000,26539.000000
1472.918975,1.445100,738352.000000,26495.000000
1476.164067,1.446971,733201.000000,26197.000000
1479.404837,1.447049,727341.000000,25983.000000
1482.641285,1.447433,722073.000000,25772.000000
1485.873412,1.446353,716423.000000,25634.000000
1489.101218,1.447118,710602.000000,25381.000000
1492.324701,1.447963,704918.000000,25129.000000
1495.543863,1.447478,699704.000000,24971.000000
1498.758704,1.446448,694048.000000,24828.000000
1503.038435,1.446261,685926.000000,24548.000000
1506.243191,1.447104,680148.000000,24294.000000
1509.443626,1.447089,674608.000000,24097.000000
1512.639740,1.447005,668544.000000,23885.000000
1515.831531,1.449847,662594.000000,23518.000000
1519.019001,1.448193,656483.000000,23390.000000
1522.202150,1.449797,650629.000000,23096.000000
1525.380976,1.449627,645306.000000,22916.000000
1528.555481,1.449420,639735.000000,22729.000000
1531.725665,1.451467,634020.000000,22420.000000
1534.891527,1.451156,627659.000000,22211.000000
1538.053067,1.452761,622269.000000,21939.000000
1542.261731,1.449764,615200.000000,21840.000000
1545.413188,1.451195,609827.000000,21578.000000
1548.560322,1.454825,603717.000000,21184.000000
1551.703135,1.452618,598019.000000,21091.000000
1554.841627,1.454746,592181.000000,20783.000000
1557.975797,1.453776,586908.000000,20644.000000
1561.105645,1.455339,581634.000000,20385.000000
1564.231171,1.454480,575359.000000,20205.000000
1567.352376,1.455920,569413.000000,19930.000000
1570.469260,1.455390,564381.000000,19778.000000
1573.581821,1.456950,559167.000000,19525.000000
1576.690061,1.455981,552834.000000,19347.000000
1579.793979,1.456332,545902.000000,19089.000000
1583.925815,1.456223,538160.000000,18823.000000
1587.019649,1.458059,531798.000000,18522.000000
1590.109162,1.456675,525069.000000,18346.000000
1593.194353,1.451667,517012.000000,18274.000000
1596.275223,1.452406,509702.000000,17985.000000
1599.351771,1.452278,501846.000000,17713.000000
1602.423997,1.452999,494194.000000,17414.000000
1605.491902,1.448506,486692.000000,17328.000000
1608.555485,1.449780,478573.000000,16989.000000
1611.614747,1.450290,470336.000000,16677.000000
1614.669686,1.446586,461923.000000,16519.000000
1617.720304,1.447756,453440.000000,16172.000000
1621.781073,1.443265,442060.000000,15930.000000
1624.821607,1.444092,433505.000000,15592.000000
1627.857820,1.439236,424533.000000,15441.000000
1630.889711,1.442510,415861.000000,15012.000000
1633.917280,1.437159,406856.000000,14869.000000
1636.940528,1.437973,398326.000000,14530.000000
1639.959454,1.433987,388738.000000,14311.000000
1642.974059,1.432470,379099.000000,14005.000000
1645.984342,1.430299,369021.000000,13701.000000
1648.990303,1.424181,358096.000000,13484.000000
1651.991942,1.422678,345876.000000,13069.000000
1654.989260,1.411838,330871.000000,12818.000000
1657.982257,1.402638,313599.000000,12409.000000
1661.966196,1.384148,285561.000000,11791.000000
1664.949108,1.357396,259848.000000,11411.000000
1667.927699,1.344395,231057.000000,10455.000000
1670.901969,1.317796,201989.000000,9717.000000
1673.871916,1.303632,173597.000000,8628.000000
