Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:36:52,,
Header Version:,1,,
System Temp (C):,32.2,,
Detector Temp (C):,27.39,,
Humidity (%):,30.18,,
Lamp PD:,3754,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.676,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,1.067139,72949.000000,6250.000000
905.910380,1.069861,86574.000000,7371.000000
909.838291,1.063145,94937.000000,8209.000000
913.761880,1.066197,104155.000000,8943.000000
917.681147,1.069911,115457.000000,9829.000000
921.596093,1.074273,129508.000000,10915.000000
925.506717,1.075936,146775.000000,12323.000000
929.413019,1.083434,166260.000000,13720.000000
933.315000,1.085059,185226.000000,15228.000000
937.212659,1.087906,202728.000000,16558.000000
941.105996,1.088284,218970.000000,17869.000000
944.995012,1.094064,234123.000000,18853.000000
948.879706,1.102266,248597.000000,19644.000000
954.052576,1.112746,267996.000000,20672.000000
957.927186,1.122457,282408.000000,21302.000000
961.797475,1.131576,296402.000000,21893.000000
965.663442,1.137098,310342.000000,22633.000000
969.525087,1.142011,323067.000000,23296.000000
973.382411,1.148377,335535.000000,23843.000000
977.235413,1.154168,347127.000000,24340.000000
981.084093,1.159455,357110.000000,24737.000000
984.928452,1.162074,365762.000000,25184.000000
988.768490,1.166513,373247.000000,25438.000000
992.604205,1.169090,378804.000000,25664.000000
996.435599,1.170239,382649.000000,25856.000000
1000.262671,1.173922,385370.000000,25820.000000
1005.358712,1.176315,387154.000000,25797.000000
1009.175700,1.174444,387134.000000,25907.000000
1012.988367,1.173515,386471.000000,25918.000000
1016.796712,1.173230,385219.000000,25851.000000
1020.600736,1.173858,383747.000000,25715.000000
1024.400438,1.172249,382119.000000,25701.000000
1028.195818,1.170361,379870.000000,25661.000000
1031.986877,1.170339,377704.000000,25516.000000
1035.773614,1.172773,374438.000000,25154.000000
1039.556029,1.172339,370584.000000,24920.000000
1043.334123,1.174575,367475.000000,24584.000000
1047.107895,1.175817,364330.000000,24304.000000
1052.132869,1.172098,359009.000000,24155.000000
1055.896557,1.176231,356290.000000,23745.000000
1059.655924,1.176661,354149.000000,23579.000000
1063.410969,1.177259,351795.000000,23390.000000
1067.161692,1.180561,349463.000000,23059.000000
1070.908094,1.182221,347652.000000,22852.000000
1074.650174,1.182825,346034.000000,22714.000000
1078.387933,1.185828,344815.000000,22478.000000
1082.121369,1.188766,343958.000000,22271.000000
1085.850485,1.191712,343127.000000,22067.000000
1089.575278,1.194161,343191.000000,21947.000000
1093.295750,1.196550,344015.000000,21879.000000
