Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 22:3:37,,
Header Version:,1,,
System Temp (C):,35.7,,
Detector Temp (C):,31.84,,
Humidity (%):,22.72,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.673,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.920367,72949.000000,8763.000000
905.910380,0.931607,86574.000000,10134.000000
909.838291,0.936596,94937.000000,10986.000000
913.761880,0.939622,104155.000000,11969.000000
917.681147,0.945083,115457.000000,13102.000000
921.596093,0.954931,129508.000000,14367.000000
925.506717,0.962451,146775.000000,16003.000000
929.413019,0.971003,166260.000000,17774.000000
933.315000,0.974450,185226.000000,19645.000000
937.212659,0.976459,202728.000000,21402.000000
941.105996,0.978242,218970.000000,23022.000000
944.995012,0.983713,234123.000000,24307.000000
948.879706,0.991518,248597.000000,25350.000000
954.052576,1.008222,267996.000000,26297.000000
957.927186,1.017715,282408.000000,27112.000000
961.797475,1.028493,296402.000000,27758.000000
965.663442,1.038308,310342.000000,28414.000000
969.525087,1.046999,323067.000000,28993.000000
973.382411,1.053347,335535.000000,29675.000000
977.235413,1.059648,347127.000000,30258.000000
981.084093,1.065876,357110.000000,30685.000000
984.928452,1.070815,365762.000000,31073.000000
988.768490,1.072144,373247.000000,31612.000000
992.604205,1.077451,378804.000000,31693.000000
996.435599,1.081153,382649.000000,31743.000000
1000.262671,1.086741,385370.000000,31560.000000
1005.358712,1.089187,387154.000000,31528.000000
1009.175700,1.090185,387134.000000,31454.000000
1012.988367,1.090547,386471.000000,31374.000000
1016.796712,1.088239,385219.000000,31439.000000
1020.600736,1.088098,383747.000000,31329.000000
1024.400438,1.086446,382119.000000,31315.000000
1028.195818,1.084549,379870.000000,31267.000000
1031.986877,1.086351,377704.000000,30960.000000
1035.773614,1.085069,374438.000000,30783.000000
1039.556029,1.086070,370584.000000,30396.000000
1043.334123,1.086459,367475.000000,30114.000000
1047.107895,1.088680,364330.000000,29704.000000
1052.132869,1.086227,359009.000000,29436.000000
1055.896557,1.085722,356290.000000,29247.000000
1059.655924,1.085636,354149.000000,29077.000000
1063.410969,1.086279,351795.000000,28841.000000
1067.161692,1.085989,349463.000000,28669.000000
1070.908094,1.085143,347652.000000,28576.000000
1074.650174,1.084716,346034.000000,28471.000000
1078.387933,1.084696,344815.000000,28372.000000
1082.121369,1.083294,343958.000000,28393.000000
1085.850485,1.081923,343127.000000,28414.000000
1089.575278,1.081606,343191.000000,28440.000000
1093.295750,1.081595,344015.000000,28509.000000
1097.011900,1.080931,344296.000000,28576.000000
1101.960045,1.078192,345137.000000,28827.000000
1105.666111,1.079936,346153.000000,28796.000000
1109.367856,1.080709,346661.000000,28787.000000
1113.065279,1.078908,347841.000000,29005.000000
1116.758381,1.081088,348929.000000,28950.000000
1120.447161,1.085956,350595.000000,28764.000000
1124.131619,1.096189,352040.000000,28210.000000
1127.811756,1.108447,353928.000000,27572.000000
1131.487571,1.126871,355980.000000,26580.000000
1135.159064,1.146344,357920.000000,25553.000000
1138.826236,1.163006,360493.000000,24768.000000
1142.489086,1.179784,363800.000000,24048.000000
1147.366164,1.195060,368112.000000,23492.000000
1151.018930,1.208038,371448.000000,23007.000000
1154.667374,1.219574,375777.000000,22665.000000
1158.311497,1.227728,380111.000000,22500.000000
1161.951299,1.238234,384988.000000,22244.000000
1165.586779,1.246540,389793.000000,22095.000000
1169.217937,1.251108,395608.000000,22190.000000
