Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:29:51,,
Header Version:,1,,
System Temp (C):,27.7,,
Detector Temp (C):,26.64,,
Humidity (%):,36.87,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.671,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.869892,72949.000000,9843.000000
905.910380,0.877597,86574.000000,11476.000000
909.838291,0.881047,94937.000000,12485.000000
913.761880,0.888796,104155.000000,13455.000000
917.681147,0.891983,115457.000000,14806.000000
921.596093,0.898646,129508.000000,16355.000000
925.506717,0.905223,146775.000000,18257.000000
929.413019,0.912736,166260.000000,20326.000000
933.315000,0.916505,185226.000000,22449.000000
937.212659,0.923224,202728.000000,24193.000000
941.105996,0.929017,218970.000000,25785.000000
944.995012,0.935898,234123.000000,27136.000000
948.879706,0.942438,248597.000000,28383.000000
954.052576,0.960091,267996.000000,29379.000000
957.927186,0.971950,282408.000000,30125.000000
961.797475,0.982457,296402.000000,30862.000000
965.663442,0.993847,310342.000000,31477.000000
969.525087,1.001950,323067.000000,32162.000000
973.382411,1.010739,335535.000000,32734.000000
977.235413,1.017549,347127.000000,33338.000000
981.084093,1.023462,357110.000000,33833.000000
984.928452,1.029147,365762.000000,34202.000000
988.768490,1.035324,373247.000000,34409.000000
992.604205,1.039677,378804.000000,34573.000000
996.435599,1.045674,382649.000000,34445.000000
1000.262671,1.048525,385370.000000,34463.000000
1005.358712,1.055524,387154.000000,34069.000000
1009.175700,1.055604,387134.000000,34061.000000
1012.988367,1.057815,386471.000000,33830.000000
1016.796712,1.057743,385219.000000,33726.000000
1020.600736,1.056866,383747.000000,33665.000000
1024.400438,1.058790,382119.000000,33374.000000
1028.195818,1.057569,379870.000000,33271.000000
1031.986877,1.059349,377704.000000,32946.000000
1035.773614,1.058102,374438.000000,32755.000000
1039.556029,1.059187,370584.000000,32337.000000
1043.334123,1.060934,367475.000000,31937.000000
1047.107895,1.061053,364330.000000,31655.000000
1052.132869,1.059478,359009.000000,31306.000000
1055.896557,1.058959,356290.000000,31106.000000
1059.655924,1.058961,354149.000000,30919.000000
1063.410969,1.056922,351795.000000,30858.000000
1067.161692,1.055923,349463.000000,30724.000000
1070.908094,1.055707,347652.000000,30580.000000
1074.650174,1.052958,346034.000000,30631.000000
1078.387933,1.050066,344815.000000,30727.000000
1082.121369,1.047095,343958.000000,30861.000000
1085.850485,1.044359,343127.000000,30981.000000
1089.575278,1.041270,343191.000000,31208.000000
1093.295750,1.041186,344015.000000,31289.000000
1097.011900,1.036901,344296.000000,31625.000000
1101.960045,1.034569,345137.000000,31873.000000
1105.666111,1.032763,346153.000000,32100.000000
1109.367856,1.030850,346661.000000,32289.000000
1113.065279,1.029858,347841.000000,32473.000000
1116.758381,1.028668,348929.000000,32664.000000
1120.447161,1.031548,350595.000000,32603.000000
1124.131619,1.039087,352040.000000,32174.000000
1127.811756,1.049613,353928.000000,31572.000000
1131.487571,1.064953,355980.000000,30653.000000
1135.159064,1.081981,357920.000000,29635.000000
1138.826236,1.098153,360493.000000,28757.000000
1142.489086,1.111925,363800.000000,28115.000000
1147.366164,1.126284,368112.000000,27523.000000
1151.018930,1.135617,371448.000000,27182.000000
1154.667374,1.146844,375777.000000,26797.000000
1158.311497,1.156484,380111.000000,26511.000000
1161.951299,1.165789,384988.000000,26282.000000
1165.586779,1.173412,389793.000000,26147.000000
1169.217937,1.179478,395608.000000,26169.000000
1172.844773,1.183826,401940.000000,26323.000000
1176.467288,1.188985,408458.000000,26434.000000
1180.085481,1.192011,415500.000000,26703.000000
1183.699353,1.193390,423175.000000,27110.000000
1187.308903,1.191226,431167.000000,27760.000000
1190.914131,1.186475,439458.000000,28605.000000
1195.714379,1.183180,450819.000000,29568.000000
1199.309524,1.181760,460669.000000,30313.000000
1202.900347,1.181980,471029.000000,30979.000000
1206.486848,1.181284,480916.000000,31680.000000
1210.069027,1.181847,491861.000000,32359.000000
1213.646885,1.180878,503550.000000,33202.000000
1217.220421,1.176614,515976.000000,34357.000000
1220.789636,1.172496,526727.000000,35407.000000
1224.354529,1.164632,537290.000000,36777.000000
1227.915100,1.158284,549160.000000,38143.000000
1231.471350,1.151907,561812.000000,39599.000000
1235.023278,1.146390,574865.000000,41037.000000
1239.752460,1.140562,589855.000000,42676.000000
1243.294304,1.138448,602768.000000,43823.000000
1246.831827,1.135769,616327.000000,45086.000000
1250.365028,1.133312,628780.000000,46258.000000
1253.893907,1.132165,640245.000000,47226.000000
1257.418465,1.131881,652792.000000,48183.000000
1260.938701,1.132056,665945.000000,49134.000000
1264.454615,1.131099,678287.000000,50155.000000
1267.966208,1.132135,690806.000000,50959.000000
1271.473479,1.132228,704539.000000,51961.000000
1274.976429,1.132304,718686.000000,52995.000000
1278.475056,1.133471,732831.000000,53893.000000
1281.969363,1.134774,745575.000000,54666.000000
1286.621715,1.138092,764267.000000,55610.000000
1290.105938,1.140109,774383.000000,56085.000000
1293.585838,1.143304,783466.000000,56327.000000
1297.061417,1.147391,792419.000000,56437.000000
1300.532675,1.151382,802228.000000,56613.000000
1303.999611,1.156134,810668.000000,56586.000000
1307.462225,1.162397,816703.000000,56191.000000
1310.920518,1.171078,823212.000000,55518.000000
1314.374489,1.177593,830491.000000,55175.000000
1317.824138,1.187216,836234.000000,54339.000000
1321.269466,1.196523,840134.000000,53435.000000
1324.710472,1.206799,843025.000000,52365.000000
1328.147156,1.216730,846348.000000,51383.000000
1332.722679,1.232419,850466.000000,49801.000000
1336.149280,1.242432,851778.000000,48741.000000
1339.571559,1.254219,852802.000000,47493.000000
1342.989516,1.264742,853887.000000,46415.000000
1346.403152,1.273961,855068.000000,45503.000000
1349.812466,1.280752,853771.000000,44729.000000
1353.217459,1.288285,852103.000000,43874.000000
1356.618129,1.293082,851003.000000,43336.000000
1360.014478,1.296695,849616.000000,42907.000000
1363.406506,1.299529,847186.000000,42506.000000
1366.794212,1.303173,845120.000000,42048.000000
1370.177596,1.307512,844187.000000,41584.000000
1374.682052,1.312217,841418.000000,41001.000000
1378.055353,1.315694,837589.000000,40489.000000
1381.424332,1.318032,835101.000000,40152.000000
1384.788989,1.318335,832957.000000,40021.000000
1388.149324,1.321235,830471.000000,39636.000000
1391.505338,1.321604,826502.000000,39413.000000
1394.857030,1.321981,822727.000000,39199.000000
1398.204401,1.321354,819381.000000,39096.000000
1401.547450,1.321600,815212.000000,38875.000000
1404.886177,1.322380,810816.000000,38596.000000
1408.220583,1.322614,807007.000000,38394.000000
1411.550667,1.324589,803845.000000,38070.000000
1414.876429,1.323502,800571.000000,38010.000000
1419.304056,1.323617,795411.000000,37755.000000
1422.619735,1.323220,791863.000000,37621.000000
1425.931092,1.325419,789812.000000,37334.000000
1429.238127,1.325368,787498.000000,37229.000000
1432.540841,1.324746,784703.000000,37150.000000
1435.839233,1.324761,781539.000000,36999.000000
1439.133303,1.325817,779314.000000,36804.000000
1442.423052,1.324615,776294.000000,36763.000000
1445.708479,1.324824,773371.000000,36607.000000
1448.989585,1.324288,769695.000000,36478.000000
1452.266369,1.325385,767073.000000,36262.000000
1455.538831,1.324850,762960.000000,36112.000000
1459.895391,1.325919,757300.000000,35756.000000
1463.157769,1.327739,753568.000000,35431.000000
1466.415826,1.327298,749404.000000,35271.000000
1469.669561,1.326853,743755.000000,35041.000000
1472.918975,1.328472,738352.000000,34657.000000
1476.164067,1.328185,733201.000000,34438.000000
1479.404837,1.328386,727341.000000,34147.000000
1482.641285,1.329562,722073.000000,33808.000000
1485.873412,1.328611,716423.000000,33617.000000
1489.101218,1.329796,710602.000000,33253.000000
1492.324701,1.330217,704918.000000,32955.000000
1495.543863,1.330101,699704.000000,32720.000000
1498.758704,1.331381,694048.000000,32360.000000
1503.038435,1.332174,685926.000000,31923.000000
1506.243191,1.333425,680148.000000,31563.000000
1509.443626,1.334243,674608.000000,31247.000000
1512.639740,1.335481,668544.000000,30878.000000
1515.831531,1.335554,662594.000000,30598.000000
1519.019001,1.336785,656483.000000,30230.000000
1522.202150,1.336502,650629.000000,29980.000000
1525.380976,1.338151,645306.000000,29622.000000
1528.555481,1.340231,639735.000000,29226.000000
1531.725665,1.342861,634020.000000,28790.000000
1534.891527,1.339297,627659.000000,28736.000000
1538.053067,1.342146,622269.000000,28303.000000
1542.261731,1.342603,615200.000000,27952.000000
1545.413188,1.343606,609827.000000,27644.000000
1548.560322,1.344146,603717.000000,27333.000000
1551.703135,1.346511,598019.000000,26928.000000
1554.841627,1.344839,592181.000000,26768.000000
1557.975797,1.347592,586908.000000,26362.000000
1561.105645,1.348043,581634.000000,26098.000000
1564.231171,1.348218,575359.000000,25806.000000
1567.352376,1.347918,569413.000000,25557.000000
1570.469260,1.351259,564381.000000,25137.000000
1573.581821,1.350610,559167.000000,24942.000000
1576.690061,1.350743,552834.000000,24652.000000
1579.793979,1.349191,545902.000000,24430.000000
1583.925815,1.351316,538160.000000,23966.000000
1587.019649,1.351971,531798.000000,23647.000000
1590.109162,1.350722,525069.000000,23415.000000
1593.194353,1.346312,517012.000000,23291.000000
1596.275223,1.347879,509702.000000,22879.000000
1599.351771,1.347809,501846.000000,22530.000000
1602.423997,1.348171,494194.000000,22168.000000
1605.491902,1.345128,486692.000000,21985.000000
1608.555485,1.344912,478573.000000,21629.000000
1611.614747,1.345131,470336.000000,21246.000000
1614.669686,1.345776,461923.000000,20835.000000
1617.720304,1.342421,453440.000000,20611.000000
1621.781073,1.341616,442060.000000,20131.000000
1624.821607,1.339781,433505.000000,19825.000000
1627.857820,1.336432,424533.000000,19565.000000
1630.889711,1.339167,415861.000000,19045.000000
1633.917280,1.333830,406856.000000,18863.000000
1636.940528,1.334572,398326.000000,18436.000000
1639.959454,1.328204,388738.000000,18258.000000
1642.974059,1.327601,379099.000000,17830.000000
1645.984342,1.325928,369021.000000,17423.000000
1648.990303,1.322861,358096.000000,17027.000000
1651.991942,1.320858,345876.000000,16522.000000
1654.989260,1.312455,330871.000000,16114.000000
1657.982257,1.306127,313599.000000,15497.000000
1661.966196,1.289476,285561.000000,14663.000000
1664.949108,1.273050,259848.000000,13857.000000
1667.927699,1.264418,231057.000000,12569.000000
1670.901969,1.248766,201989.000000,11391.000000
1673.871916,1.235393,173597.000000,10096.000000
1676.837542,1.224812,147503.000000,8790.000000
1679.798846,1.220925,124801.000000,7504.000000
1682.755829,1.234167,105329.000000,6143.000000
1685.708490,1.229837,89413.000000,5267.000000
1688.656830,1.243506,76575.000000,4371.000000
1691.600847,1.250891,66181.000000,3714.000000
1694.540543,1.260907,57404.000000,3148.000000
1698.453416,1.283387,47491.000000,2473.000000
1701.383028,1.287931,41703.000000,2149.000000
